"FilerEIN","FilerName1","TitleTxt","PersonNm","salutation","suffix","first_name","last_name","PRE","POST","FormYr","N","complete.panel","TOTCOMP","gender","TYPE","BASELINE.MALE","BASELINE.FEMALE","GEN.CHANGE","pre","post","male","GENDER.PRE","GENDER.POST","pre.male","post.male","NTEE1","HEALTH","EDU","HOSP","UNIV","TOTEMPLOYEE","TOTVOLUNTEERS","TOTNETASSETSBEGYEAR","TOTNETASSETSENDYEAR","TOTLIABNABEGYEAR","TOTLIABNAENDYEAR","CONTRIBPRIOR","CONTRIBCURRENT","GROSSRECEIPTS","TOTFUNDEXP","PSRPRIOR","PSRCURRENT","TOTALREVCURRENT","TOTALREVPRIOR","INVINCCURRENT","INVINCPRIOR","SALARIESPRIOR","SALARIESCURRENT","TOTALEXPPRIOR","TOTALEXPCURRENT","REVLESSEXPPRIOR","REVLESSEXPCURRENT","TOTALASSETSBEGYEAR","TOTALASSETSENDYEAR","TOTALLIABBEGYEAR","TOTALLIABENDYEAR","NETASSETSBEGYEAR","NETASSETSENDYEAR","CASHBEGYEAR","CASHENDYEAR","SAVINVBEGYEAR","SAVINVENDYEAR","TOTALPROGSERVEXP","Trustee","TRUST","AvgHrs","RptCmpOrg","RptCmpRltd","OtherComp","totalComp","FISYR","inf.factor"
"208387850","SOUTHERN HILLS SENIOR RESIDENCES INC","PRESIDENT","ANDREW L BIAS","","","ANDREW","BIAS","PRE","",2013,1,TRUE,109174,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"L",0,0,0,0,"3","7","3922171","3774556","4017632","3888204","0","0","227497","0","204403","209523","227497","216813","260","288","55503","46551","392430","375111","-175617","-147614","4017632","3888204","95461","113648","3922171","3774556","768","5942","0","0","288075",0,0,1,0,87100,15315,102415,"2013",1.066
"208387850","SOUTHERN HILLS SENIOR","PRESIDENT","BYRON ADRIAN","","","ADRIAN","BYRON","","POST",2015,1,TRUE,99398,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"L",0,0,0,0,"3","7","3627762","3478842","3752733","3620918","0","0","250135","0","213845","234077","250135","229602","317","278","49564","60859","376397","399055","-146795","-148920","3752733","3620918","124971","142076","3627762","3478842","1761","1297","0","0","296950",0,0,1,0,85037,11000,96037,"2015",1.035
"208407010","NEW COLLEGE FOUNDATION","Executive Direc","BARRY DORSEY","","","BARRY","DORSEY","PRE","",2010,1,TRUE,17789,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"B",0,1,0,0,"0",NA,"1136663","2245064","1139014","2331363","2004689","2235249","2245128","7550","0","0","2245128","2016707","9396","11721","16687","38319","1976769","1119802","39938","1125326","1139014","2331363","2351","86299","1136663","2245064","650631","1835269","246487","0","959280",0,0,40,15673,0,0,15673,"2010",1.135
"208407010","NEW COLLEGE FOUNDATION","EXECUTIVE DIRECTOR","WILLIAM A WAMPLER JR","","JR","WILLIAM","WAMPLER","","POST",2012,1,TRUE,253336,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"B",0,1,0,0,"4",NA,"2555964","14134434","2558130","14870657","1618888","13610657","13647780","271613","0","0","13647780","1648919","34537","29588","278204","622815","1353906","2193188","295013","11454592","2558130","14870657","2166","736223","2555964","14134434","1590029","8745797","0","0","1492329",0,0,40,233060,0,0,233060,"2012",1.087
"208479728","IKAN INCORPORATED","EXECUTIVE DIRECTOR","LAURIE POST","","","LAURIE","POST","PRE","",2010,1,TRUE,165284,"F","F-F",0,1,0,1,0,0,"F","F",0,0,"P",0,0,0,0,"15","0","-21705","-72676","47174","36890","0","0","337683","0","244465","337683","337683","244465","0","0","243592","344440","270250","388654","-25785","-50971","47174","36890","68879","109566","-21705","-72676","20883","8382","0","0","186912",0,0,40,145625,0,0,145625,"2010",1.135
"208479728","IKAN INCORPORATED","EXECUTIVE DIRECTOR","LAURIE KEATS","","","LAURIE","KEATS","","POST",2012,1,TRUE,62055,"F","F-F",0,1,0,0,1,0,"F","F",0,0,"P",0,0,0,0,"5","0","-83762","-3344","66431","107973","0","0","493890","0","326864","493890","493890","326864","0","0","254310","341235","332970","413472","-6106","80418","66431","107973","150193","111317","-83762","-3344","16599","42494","0","0","317974",0,0,40,57088,0,0,57088,"2012",1.087
"208484121","SCHOLASTIC SHOOTING SPORTS FOUNDATION INC","EXECUTIVE DIRECTOR & PRESI","DAN HATHAWAY","","","DAN","HATHAWAY","PRE","",2013,1,TRUE,90723,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"N",0,0,0,0,"14","1971","572102","379670","755736","477974","1485407","1389036","2076243","91133","345069","538912","1970881","1874088","-11543","1872","392078","597069","1617634","2163313","256454","-192432","755736","477974","183634","98304","572102","379670","133545","51129","15137","8686","1118102",0,0,40,85106,0,0,85106,"2013",1.066
"208484121","SCHOLASTIC SHOOTING SPORTS FOUNDATION I","PRESIDENT & EXECUTIVE DIRE","BEN BERKA","","","BEN","BERKA","","POST",2015,1,TRUE,100133,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"N",0,0,0,0,"16","2700","400490","582620","465682","696926","899691","2259120","5401132","95225","870237","1061600","3422553","1814422","-5377","-9532","616294","626632","1797147","3245400","17275","177153","465682","696926","65192","114306","400490","582620","133267","67426","14924","146801","2904348",0,0,55,95269,0,1478,96747,"2015",1.035
"208488713","Pasco-Pinellas Hillsborough Community","Director (beg 2/13)/CEO","Brian Adams","","","BRIAN","ADAMS","PRE","",2013,1,TRUE,391007,"M","M-F",1,0,1,1,0,1,"M","F",1,0,"E",1,0,1,0,"779","141","22470009","28544823","173726902","184347510","0","0","88871138","0","13033814","88504142","88871138","13297836","366996","264022","9459563","34412096","20459371","84113198","-7161535","4757940","173726902","184347510","151256893","155802687","22470009","28544823","1252","2197","16973367","18990752","78488491",0,0,50,0,307171,59627,366798,"2013",1.066
"208488713","Pasco-Pinellas Hillsborough Community","Director/CEO","Denyse Bales-Chubb","","","DENYSE","BALES-CHUBB","","POST",2015,1,TRUE,432981,"F","M-F",1,0,1,0,1,0,"M","F",0,0,"E",1,0,1,0,"1105","167","57276876","94929313","207438783","236487926","0","0","318081521","0","140006252","161935588","162448438","142628412","-530317","388092","41426153","51992562","112607501","123105237","30020911","39343201","207438783","236487926","150161907","141558613","57276876","94929313","2200","2250","43567106","71580113","112272428",0,0,50,0,339268,79071,418339,"2015",1.035
